crash_id,vehicle_type
20223003,heavyrigidtruck
20222191,heavyrigidtruck
20223073,heavyrigidtruck
20221174,heavyrigidtruck
20222214,heavyrigidtruck
20221239,heavyrigidtruck
20227031,heavyrigidtruck
20223203,heavyrigidtruck
20223111,heavyrigidtruck
20226015,heavyrigidtruck
20223008,heavyrigidtruck
20222181,heavyrigidtruck
20223188,heavyrigidtruck
20223038,heavyrigidtruck
20222123,heavyrigidtruck
20222132,heavyrigidtruck
20223259,heavyrigidtruck
20222060,heavyrigidtruck
20221039,heavyrigidtruck
20221003,heavyrigidtruck
20223262,heavyrigidtruck
20226037,heavyrigidtruck
20226037,heavyrigidtruck
20221030,heavyrigidtruck
20221030,heavyrigidtruck
20222092,heavyrigidtruck
20223212,heavyrigidtruck
20223048,heavyrigidtruck
20221171,heavyrigidtruck
20222055,heavyrigidtruck
20222096,heavyrigidtruck
20223083,heavyrigidtruck
20222025,heavyrigidtruck
20222099,heavyrigidtruck
20222038,heavyrigidtruck
20221124,heavyrigidtruck
20221027,heavyrigidtruck
20224045,heavyrigidtruck
20222173,heavyrigidtruck
20226018,heavyrigidtruck
20221072,heavyrigidtruck
20221076,heavyrigidtruck
20223245,heavyrigidtruck
20223200,heavyrigidtruck
20222134,heavyrigidtruck
20221172,heavyrigidtruck
20221038,heavyrigidtruck
20223007,heavyrigidtruck
20223161,heavyrigidtruck
20223161,heavyrigidtruck
20221142,heavyrigidtruck
20223231,heavyrigidtruck
20222039,heavyrigidtruck
20221041,heavyrigidtruck
20222116,heavyrigidtruck
20221254,heavyrigidtruck
20221254,heavyrigidtruck
20222007,heavyrigidtruck
20226033,heavyrigidtruck
20224048,heavyrigidtruck
20223142,heavyrigidtruck
20221154,heavyrigidtruck
20212026,heavyrigidtruck
20211133,heavyrigidtruck
20215057,heavyrigidtruck
20215150,heavyrigidtruck
20211086,heavyrigidtruck
20211242,heavyrigidtruck
20211146,heavyrigidtruck
20211025,heavyrigidtruck
20213175,heavyrigidtruck
20213154,heavyrigidtruck
20211205,heavyrigidtruck
20212113,heavyrigidtruck
20211013,heavyrigidtruck
20211085,heavyrigidtruck
20212160,heavyrigidtruck
20212034,heavyrigidtruck
20211101,heavyrigidtruck
20212011,heavyrigidtruck
20212156,heavyrigidtruck
20212156,heavyrigidtruck
20212056,heavyrigidtruck
20211078,heavyrigidtruck
20211152,heavyrigidtruck
20211106,heavyrigidtruck
20214059,heavyrigidtruck
20213130,heavyrigidtruck
20213165,heavyrigidtruck
20214086,heavyrigidtruck
20215089,heavyrigidtruck
20215030,heavyrigidtruck
20211029,heavyrigidtruck
20211029,heavyrigidtruck
20214017,heavyrigidtruck
20212071,heavyrigidtruck
20211220,heavyrigidtruck
20216033,heavyrigidtruck
20213196,heavyrigidtruck
20212074,heavyrigidtruck
20215110,heavyrigidtruck
20212210,heavyrigidtruck
20211088,heavyrigidtruck
20215005,heavyrigidtruck
20217028,heavyrigidtruck
20212022,heavyrigidtruck
20213034,heavyrigidtruck
20212099,heavyrigidtruck
20211036,heavyrigidtruck
20211036,heavyrigidtruck
20212166,heavyrigidtruck
20215090,heavyrigidtruck
20212091,heavyrigidtruck
20216002,heavyrigidtruck
20211005,heavyrigidtruck
20211188,heavyrigidtruck
20211137,heavyrigidtruck
20211060,heavyrigidtruck
20211149,heavyrigidtruck
20212062,heavyrigidtruck
20212139,heavyrigidtruck
20215129,heavyrigidtruck
20213011,heavyrigidtruck
20213011,heavyrigidtruck
20211141,heavyrigidtruck
20211032,heavyrigidtruck
20211102,heavyrigidtruck
20213184,heavyrigidtruck
20212202,heavyrigidtruck
20216007,heavyrigidtruck
20203097,heavyrigidtruck
20201118,heavyrigidtruck
20201202,heavyrigidtruck
20201058,heavyrigidtruck
20201110,heavyrigidtruck
20203015,heavyrigidtruck
20201073,heavyrigidtruck
20202131,heavyrigidtruck
20201237,heavyrigidtruck
20201045,heavyrigidtruck
20204012,heavyrigidtruck
20203068,heavyrigidtruck
20202037,heavyrigidtruck
20202037,heavyrigidtruck
20201121,heavyrigidtruck
20205135,heavyrigidtruck
20205102,heavyrigidtruck
20201114,heavyrigidtruck
20201262,heavyrigidtruck
20204071,heavyrigidtruck
20204071,heavyrigidtruck
20205027,heavyrigidtruck
20205074,heavyrigidtruck
20203236,heavyrigidtruck
20201138,heavyrigidtruck
20201016,heavyrigidtruck
20202023,heavyrigidtruck
20201159,heavyrigidtruck
20201063,heavyrigidtruck
20202050,heavyrigidtruck
20203225,heavyrigidtruck
20206015,heavyrigidtruck
20205032,heavyrigidtruck
20204075,heavyrigidtruck
20204085,heavyrigidtruck
20202034,heavyrigidtruck
20205019,heavyrigidtruck
20205019,heavyrigidtruck
20203229,heavyrigidtruck
20203045,heavyrigidtruck
20201019,heavyrigidtruck
20203088,heavyrigidtruck
20201194,heavyrigidtruck
20201068,heavyrigidtruck
20202002,heavyrigidtruck
20202057,heavyrigidtruck
20201099,heavyrigidtruck
20201256,heavyrigidtruck
20205070,heavyrigidtruck
20202181,heavyrigidtruck
20203082,heavyrigidtruck
20201228,heavyrigidtruck
20202137,heavyrigidtruck
20203019,heavyrigidtruck
20205021,heavyrigidtruck
20201069,heavyrigidtruck
20201069,heavyrigidtruck
20202136,heavyrigidtruck
20201015,heavyrigidtruck
20201103,heavyrigidtruck
20201203,heavyrigidtruck
20201190,heavyrigidtruck
20201199,heavyrigidtruck
20202115,heavyrigidtruck
20201134,heavyrigidtruck
20201134,heavyrigidtruck
20203149,heavyrigidtruck
20192176,heavyrigidtruck
20194076,heavyrigidtruck
20192247,heavyrigidtruck
20193029,heavyrigidtruck
20191313,heavyrigidtruck
20193129,heavyrigidtruck
20192206,heavyrigidtruck
20191230,heavyrigidtruck
20192137,heavyrigidtruck
20194025,heavyrigidtruck
20192165,heavyrigidtruck
20195027,heavyrigidtruck
20191193,heavyrigidtruck
20191273,heavyrigidtruck
20193146,heavyrigidtruck
20192213,heavyrigidtruck
20191175,heavyrigidtruck
20193161,heavyrigidtruck
20191285,heavyrigidtruck
20192158,heavyrigidtruck
20193008,heavyrigidtruck
20194018,heavyrigidtruck
20194083,heavyrigidtruck
20193022,heavyrigidtruck
20191070,heavyrigidtruck
20191165,heavyrigidtruck
20192034,heavyrigidtruck
20192034,heavyrigidtruck
20193070,heavyrigidtruck
20195020,heavyrigidtruck
20195001,heavyrigidtruck
20197025,heavyrigidtruck
20192184,heavyrigidtruck
20192188,heavyrigidtruck
20191178,heavyrigidtruck
20191178,heavyrigidtruck
20191297,heavyrigidtruck
20193101,heavyrigidtruck
20193125,heavyrigidtruck
20192075,heavyrigidtruck
20191011,heavyrigidtruck
20193061,heavyrigidtruck
20192035,heavyrigidtruck
20192035,heavyrigidtruck
20191253,heavyrigidtruck
20191217,heavyrigidtruck
20192191,heavyrigidtruck
20195055,heavyrigidtruck
20191056,heavyrigidtruck
20191140,heavyrigidtruck
20191134,heavyrigidtruck
20195128,heavyrigidtruck
20191227,heavyrigidtruck
20192067,heavyrigidtruck
20193122,heavyrigidtruck
20192036,heavyrigidtruck
20191247,heavyrigidtruck
20191247,heavyrigidtruck
20191080,heavyrigidtruck
20192194,heavyrigidtruck
20191221,heavyrigidtruck
20193184,heavyrigidtruck
20193184,heavyrigidtruck
20192110,heavyrigidtruck
20193175,heavyrigidtruck
