person_id,crash_id,road_user,gender,age,age_group,load_ts
2722,20223017,Passenger,Female,28,26_to_39,2025-05-06T08:22:34
2723,20223132,Driver,Male,22,17_to_25,2025-05-06T08:22:34
2724,20221101,Passenger,Male,34,26_to_39,2025-05-06T08:22:34
2725,20221101,Driver,Female,67,65_to_74,2025-05-06T08:22:34
2726,20222026,Driver,Male,32,26_to_39,2025-05-06T08:22:34
2727,20223245,Driver,Male,52,40_to_64,2025-05-06T08:22:34
2728,20223200,Motorcycle rider,Male,33,26_to_39,2025-05-06T08:22:34
2729,20221019,Driver,Female,33,26_to_39,2025-05-06T08:22:34
2730,20221019,Motorcycle rider,Male,40,40_to_64,2025-05-06T08:22:34
2731,20224034,Driver,Male,86,75_or_older,2025-05-06T08:22:34
2732,20222122,Passenger,Female,93,75_or_older,2025-05-06T08:22:34
2733,20223215,Motorcycle rider,Male,25,17_to_25,2025-05-06T08:22:34
2734,20223122,Driver,Male,65,65_to_74,2025-05-06T08:22:34
2735,20221182,Pedestrian,Female,25,17_to_25,2025-05-06T08:22:34
2736,20222061,Pedestrian,Male,73,65_to_74,2025-05-06T08:22:34
2737,20221247,Driver,Male,43,40_to_64,2025-05-06T08:22:34
2738,20221033,Driver,Male,38,26_to_39,2025-05-06T08:22:34
2739,20223189,Pedestrian,Male,84,75_or_older,2025-05-06T08:22:34
2740,20226035,Motorcycle rider,Male,70,65_to_74,2025-05-06T08:22:34
2741,20221169,Driver,Male,64,40_to_64,2025-05-06T08:22:34
2742,20221207,Driver,Male,74,65_to_74,2025-05-06T08:22:34
2743,20223250,Driver,Male,16,0_to_16,2025-05-06T08:22:34
2744,20226014,Passenger,Female,62,40_to_64,2025-05-06T08:22:34
2745,20223232,Driver,Male,22,17_to_25,2025-05-06T08:22:34
2746,20221088,Pedestrian,Female,54,40_to_64,2025-05-06T08:22:34
2747,20221165,Driver,Male,21,17_to_25,2025-05-06T08:22:34
